Test,Function,Failed,Passed,Occurrence_Count,Failure_Count,Success_Count,Tarantula_Score,SBI_Score,Jaccard_Score,Ochiai_Score,Average_Score
testDrawWithNullInfo,org/jfree/chart/axis/DateAxis:draw:(Ljava/awt/Graphics2D;DLjava/awt/geom/Rectangle2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/ui/RectangleEdge;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/axis/AxisState;,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo,org/jfree/chart/renderer/category/BarRenderer:getItemMargin:()D,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo2,org/jfree/chart/renderer/category/CategoryItemRendererState:getCrosshairState:()Lorg/jfree/chart/plot/CategoryCrosshairState;,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testNotification,org/jfree/chart/plot/CategoryPlot:setFixedRangeAxisSpace:(Lorg/jfree/chart/axis/AxisSpace;Z)V,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testSerialization,org/jfree/chart/renderer/AreaRendererEndType:readResolve:()Ljava/lang/Object;,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testMaximumStackedRangeValue,org/jfree/data/general/DatasetUtilities:findMaximumStackedRangeValue:(Lorg/jfree/data/category/CategoryDataset;)Ljava/lang/Number;,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testCloning2,org/jfree/chart/plot/CategoryPlot:setFixedDomainAxisSpace:(Lorg/jfree/chart/axis/AxisSpace;Z)V,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testSerialization,org/jfree/data/general/DefaultHeatMapDataset:equals:(Ljava/lang/Object;)Z,False,True,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testEquals,org/jfree/chart/renderer/xy/XYAreaRenderer:equals:(Ljava/lang/Object;)Z,False,True,8,2.0,6.0,0.9587274290627688,0.25,0.05263157894736842,0.125,0.3465897520025343
testXYAutoRange2,org/jfree/chart/ChartFactory:createScatterPlot:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/jfree/data/xy/XYDataset;)Lorg/jfree/chart/JFreeChart;,False,True,8,2.0,6.0,0.9587274290627688,0.25,0.05263157894736842,0.125,0.3465897520025343
testXYAutoRange2,org/jfree/chart/ChartFactory:createScatterPlot:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/jfree/data/xy/XYDataset;Lorg/jfree/chart/plot/PlotOrientation;ZZZ)Lorg/jfree/chart/JFreeChart;,False,True,8,2.0,6.0,0.9587274290627688,0.25,0.05263157894736842,0.125,0.3465897520025343
